;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;result
1540;Femenino;servicio;cafeteria;robledo;2;7.0;5/05/2016;5000000;microempresarial;"Femenino; servicio; cafeteria; robledo; 2; 7.0; 42495; 5000000; microempresarial"
1541;Femenino;industria;fabrica de ;picacho;1;6.0;28/09/2016;6000000;Microempresarial;"Femenino; industria; fabrica de ; picacho; 1; 6.0; 42641; 6000000; Microempresarial"
1542;Femenino;servicio;barberia;manrique central no. 1;2;4.0;23/05/2017;$ 7,370,000.00;microempresarial;"Femenino; servicio; barberia; manrique central no. 1; 2; 4.0; 42878; $ 7,370,000.00; microempresarial"
1543;Femenino;comercio;variedades;versalles no. 1;1;3.0;30/01/2018;3000000;microempresarial;"Femenino; comercio; variedades; versalles no. 1; 1; 3.0; 43130; 3000000; microempresarial"
1544;Femenino;comercio;variedades;cabecera san antonio ;3;80.0;25/09/2017;7000000;microempresarial;"Femenino; comercio; variedades; cabecera san antonio ; 3; 80.0; 43003; 7000000; microempresarial"
1545;Femenino;industria;fabrica de ;robledo;1;7.0;7/12/2016;6890000;microempresarial;"Femenino; industria; fabrica de ; robledo; 1; 7.0; 42711; 6890000; microempresarial"
1546;Femenino;comercio;comidas rapidas;Calasanz;2;12.0;21/06/2018;2500000;microempresarial;"Femenino; comercio; comidas rapidas; Calasanz; 2; 12.0; 43272; 2500000; microempresarial"
1547;Femenino;comercio;cafeteria;san javier no.1;2;13.0;29/11/2017;7300000;microempresarial;"Femenino; comercio; cafeteria; san javier no.1; 2; 13.0; 43068; 7300000; microempresarial"
1548;Masculino;industria;fabrica de ;belen;3;16.0;23/04/2018;1000000;microempresarial;"Masculino; industria; fabrica de ; belen; 3; 16.0; 43213; 1000000; microempresarial"
1549;Masculino;servicio;fotografia;guayabal;2;15.0;28/01/2016;4500000;microempresarial;"Masculino; servicio; fotografia; guayabal; 2; 15.0; 42397; 4500000; microempresarial"
1550;Femenino;comercio;comidas rapidas;villa hermosa;3;8.0;27/07/2018;3000000;microempresarial;"Femenino; comercio; comidas rapidas; villa hermosa; 3; 8.0; 43308; 3000000; microempresarial"
1551;Femenino;comercio;papeleria;santa monica;3;12.0;30/07/2018;4000000;microempresarial;"Femenino; comercio; papeleria; santa monica; 3; 12.0; 43311; 4000000; microempresarial"
1552;Femenino;servicio;variedades;robledo;2;7.0;30/10/2017;7300000;microempresarial;"Femenino; servicio; variedades; robledo; 2; 7.0; 43038; 7300000; microempresarial"
1553;Masculino;servicio;variedades;andalucia;2;2.0;13/12/2016;6000000;microempresarial;"Masculino; servicio; variedades; andalucia; 2; 2.0; 42717; 6000000; microempresarial"
1554;Masculino;comercio;variedades;villa hermosa;3;8.0;6/03/2018;1500000;microempresarial;"Masculino; comercio; variedades; villa hermosa; 3; 8.0; 43165; 1500000; microempresarial"
1555;Femenino;comercio;hoteles-moteles-;san javier no.1;3;13.0;27/04/2017;6800000;MICROEMPRESARIAL;"Femenino; comercio; hoteles-moteles-; san javier no.1; 3; 13.0; 42852; 6800000; MICROEMPRESARIAL"
1556;Masculino;comercio;fabrica de calzado;la milagrosa;2;9.0;9/04/2019;8000000;microempresarial;"Masculino; comercio; fabrica de calzado; la milagrosa; 2; 9.0; 43564; 8000000; microempresarial"
1557;Masculino;comercio;tienda;manrique central no. 2;2;3.0;30/11/2016;6000000;microempresarial;"Masculino; comercio; tienda; manrique central no. 2; 2; 3.0; 42704; 6000000; microempresarial"
1558;Femenino;servicio;comidas rapidas;;3;9.0;20/04/2016;5000000;microempresarial;"Femenino; servicio; comidas rapidas; ; 3; 9.0; 42480; 5000000; microempresarial"
1559;Femenino;agropecuaria;criadero de animales ;cabecera san cristobal;2;60.0;25/10/2018;17000000;agropecuaria;"Femenino; agropecuaria; criadero de animales ; cabecera san cristobal; 2; 60.0; 43398; 17000000; agropecuaria"
1560;Femenino;servicio;restaurante;santa cruz;2;2.0;23/06/2016;6000000;microempresarial;"Femenino; servicio; restaurante; santa cruz; 2; 2.0; 42544; 6000000; microempresarial"
1561;Femenino;servicio;cafe e internet;robledo;1;7.0;22/02/2017;7370000;microempresarial;"Femenino; servicio; cafe e internet; robledo; 1; 7.0; 42788; 7370000; microempresarial"
1562;Femenino;industria;PANADERIA;santa cruz;1;2.0;31/03/2016;6000000;microempresarial;"Femenino; industria; PANADERIA; santa cruz; 1; 2.0; 42460; 6000000; microempresarial"
1563;Masculino;servicio;barberia;belen;3;16.0;27/07/2017;7000000;microempresarial;"Masculino; servicio; barberia; belen; 3; 16.0; 42943; 7000000; microempresarial"
1564;Masculino;servicio;Publicidad Y ;castilla;3;5.0;7/02/2019;4000000;microempresarial;"Masculino; servicio; Publicidad Y ; castilla; 3; 5.0; 43503; 4000000; microempresarial"
1565;Masculino;comercio;comidas rapidas;el salvador;3;9.0;4/08/2017;7370000;microempresarial;"Masculino; comercio; comidas rapidas; el salvador; 3; 9.0; 42951; 7370000; microempresarial"
1566;Femenino;servicio;mantenimiento en ;castilla;3;5.0;10/07/2018;5574000;Microempresarial;"Femenino; servicio; mantenimiento en ; castilla; 3; 5.0; 43291; 5574000; Microempresarial"
1567;Femenino;comercio;tienda;la america;3;12.0;10/06/2016;4000000;microempresarial;"Femenino; comercio; tienda; la america; 3; 12.0; 42531; 4000000; microempresarial"
1568;Femenino;servicio;peluqueria;cabecera san cristobal;2;60.0;18/07/2017;7377000;microempresarial;"Femenino; servicio; peluqueria; cabecera san cristobal; 2; 60.0; 42934; 7377000; microempresarial"
1569;Femenino;servicio;almacen de ropa en ;picachito;2;6.0;18/07/2017;7000000;microempresarial;"Femenino; servicio; almacen de ropa en ; picachito; 2; 6.0; 42934; 7000000; microempresarial"
1570;Femenino;industria;fabrica de productos ;santa_cruz;2;2.0;11/08/2017;$ 4,000,000.00;microempresarial;"Femenino; industria; fabrica de productos ; santa_cruz; 2; 2.0; 42958; $ 4,000,000.00; microempresarial"
1571;Masculino;industria;cerrajeria;la avanzada;1;1.0;20/03/2018;7800000;microempresarial;"Masculino; industria; cerrajeria; la avanzada; 1; 1.0; 43179; 7800000; microempresarial"
1572;Femenino;;fabrica de ;20 de julio;1;13.0;6/03/2018;7000000;microempresarial;"Femenino; ; fabrica de ; 20 de julio; 1; 13.0; 43165; 7000000; microempresarial"
1573;Femenino;comercio;distribuidora_de_;buenos aires;1;9.0;17/07/2018;4600000;microempresarial;"Femenino; comercio; distribuidora_de_; buenos aires; 1; 9.0; 43298; 4600000; microempresarial"
1574;Masculino;industria;fabrica de ;manrique oriental;2;3.0;20/09/2018;$ 7,800,000.00;microempresarial;"Masculino; industria; fabrica de ; manrique oriental; 2; 3.0; 43363; $ 7,800,000.00; microempresarial"
1575;Femenino;COMERCIO;fabrica de alimentos;el salvador;3;9.0;10/11/2016;2000000;microempresarial;"Femenino; COMERCIO; fabrica de alimentos; el salvador; 3; 9.0; 42684; 2000000; microempresarial"
1576;Masculino;comercio;tienda;manrique central no. 1;2;4.0;14/08/2018;3000000;microempresarial;"Masculino; comercio; tienda; manrique central no. 1; 2; 4.0; 43326; 3000000; microempresarial"
1577;Masculino;comercio;mantenimiento en ;enciso;2;8.0;28/02/2019;8200000;microempresarial;"Masculino; comercio; mantenimiento en ; enciso; 2; 8.0; 43524; 8200000; microempresarial"
1578;Masculino;servicio;carpinteria;Robledo;2;7.0;1/07/2016;6000000;microempresarial;"Masculino; servicio; carpinteria; Robledo; 2; 7.0; 42552; 6000000; microempresarial"
1579;Femenino;comercio;variedades;belen;3;16.0;4/09/2017;7300000;microempresarial;"Femenino; comercio; variedades; belen; 3; 16.0; 42982; 7300000; microempresarial"
1580;Femenino;comercio;publicidad y ;manrique oriental;2;3.0;18/07/2016;6890000;microempresarial;"Femenino; comercio; publicidad y ; manrique oriental; 2; 3.0; 42569; 6890000; microempresarial"
1581;Femenino;industria;fabrica de ;pablo vi;2;2.0;8/11/2016;6890000;microempresarial;"Femenino; industria; fabrica de ; pablo vi; 2; 2.0; 42682; 6890000; microempresarial"
1582;Masculino;agropecuaria;criadero de animales ;cabecera san cristobal;2;60.0;20/11/2018;5000000;microempresarial;"Masculino; agropecuaria; criadero de animales ; cabecera san cristobal; 2; 60.0; 43424; 5000000; microempresarial"
1583;Femenino;industria;fabrica de ;carpinelo;1;1.0;6/06/2017;7377000;microempresarial;"Femenino; industria; fabrica de ; carpinelo; 1; 1.0; 42892; 7377000; microempresarial"
1584;Femenino;servicio;ferreteria;BUENOS AIRES;3;9.0;3/07/2018;7800000;microempresarial;"Femenino; servicio; ferreteria; BUENOS AIRES; 3; 9.0; 43284; 7800000; microempresarial"
1585;Femenino;servicio;peluqueria;campo valdes no. 1;3;4.0;8/03/2018;3000000;microempresarial;"Femenino; servicio; peluqueria; campo valdes no. 1; 3; 4.0; 43167; 3000000; microempresarial"
1586;Femenino;comercio;variedades;el salvador;3;9.0;25/10/2017;5000000;microempresarial;"Femenino; comercio; variedades; el salvador; 3; 9.0; 43033; 5000000; microempresarial"
1587;Masculino;servicio;recreativo-educativo;belen;3;16.0;7/04/2016;6890000;microempresarial;"Masculino; servicio; recreativo-educativo; belen; 3; 16.0; 42467; 6890000; microempresarial"
1588;Femenino;comercio;almacen de ropa en ;santa cruz;2;2.0;25/10/2018;7800000;microempresarial;"Femenino; comercio; almacen de ropa en ; santa cruz; 2; 2.0; 43398; 7800000; microempresarial"
1589;Femenino;servicio;variedades;florencia;3;5.0;5/07/2018;4000000;microempresarial;"Femenino; servicio; variedades; florencia; 3; 5.0; 43286; 4000000; microempresarial"
1590;Femenino;comercio;comidas_rapidas;villa_hermosa;3;8.0;12/03/2018;5000000;microempresarial;"Femenino; comercio; comidas_rapidas; villa_hermosa; 3; 8.0; 43171; 5000000; microempresarial"
1591;Femenino;industria;cerrajeria;san javier no.1;2;13.0;11/10/2018;7800000;microempresarial;"Femenino; industria; cerrajeria; san javier no.1; 2; 13.0; 43384; 7800000; microempresarial"
1592;Femenino;comercio;variedades;santa cruz;2;2.0;15/06/2018;7800000;microempresarial;"Femenino; comercio; variedades; santa cruz; 2; 2.0; 43266; 7800000; microempresarial"
1593;Masculino;comercio;variedades;aranjuez;3;2.0;20/06/2017;7377000;microempresarial;"Masculino; comercio; variedades; aranjuez; 3; 2.0; 42906; 7377000; microempresarial"
1594;Femenino;servicio;organización y ;manrique central no. 2;2;3.0;7/06/2016;6890000;microempresarial;"Femenino; servicio; organización y ; manrique central no. 2; 2; 3.0; 42528; 6890000; microempresarial"
1595;Femenino;Industria;fabrica de ;loreto;2;9.0;28/11/2018;5000000;microempresarial;"Femenino; Industria; fabrica de ; loreto; 2; 9.0; 43432; 5000000; microempresarial"
1596;Femenino;servicio;peluqueria;la candelaria;1;10.0;2/11/2016;4000000;Microempresarial;"Femenino; servicio; peluqueria; la candelaria; 1; 10.0; 42676; 4000000; Microempresarial"
1597;Femenino;comercio;comidas rapidas;belen;3;16.0;7/05/2018;7800000;microempresarial;"Femenino; comercio; comidas rapidas; belen; 3; 16.0; 43227; 7800000; microempresarial"
1598;Femenino;industria;fabrica de ;belen;2;16.0;23/05/2018;3000000;microempresarial;"Femenino; industria; fabrica de ; belen; 2; 16.0; 43243; 3000000; microempresarial"
1599;Masculino;comercio;distribuidora de ;belencito;2;13.0;13/02/2017;30000000;empresarial ed. ;"Masculino; comercio; distribuidora de ; belencito; 2; 13.0; 42779; 30000000; empresarial ed. "
1600;Femenino;comercio;variedades;San Javier No.2;3;13.0;26/09/2016;5000000;microempresarial;"Femenino; comercio; variedades; San Javier No.2; 3; 13.0; 42639; 5000000; microempresarial"
1601;Femenino;comercio;comidas rapidas;VERSALLES NO. 1;2;3.0;30/11/2016;3500000;microempresarial;"Femenino; comercio; comidas rapidas; VERSALLES NO. 1; 2; 3.0; 42704; 3500000; microempresarial"
1602;Masculino;comercio;cerrajeria;ENCISO;2;8.0;26/07/2018;7800000;microempresarial;"Masculino; comercio; cerrajeria; ENCISO; 2; 8.0; 43307; 7800000; microempresarial"
1603;Masculino;servicio;charcuteria;aranjuez;1;4.0;27/07/2016;1200000;microempresarial;"Masculino; servicio; charcuteria; aranjuez; 1; 4.0; 42578; 1200000; microempresarial"
1604;Femenino;servicio;fabrica de ;popular;1;1.0;19/11/2018;7800000;microempresarial;"Femenino; servicio; fabrica de ; popular; 1; 1.0; 43423; 7800000; microempresarial"
1605;Masculino;servicio;variedades;cabecera san antonio ;2;80.0;16/04/2018;1300000;microempresarial;"Masculino; servicio; variedades; cabecera san antonio ; 2; 80.0; 43206; 1300000; microempresarial"
1606;Masculino;servicio;variedades;popular;2;1.0;11/02/2019;4500000;microempresarial;"Masculino; servicio; variedades; popular; 2; 1.0; 43507; 4500000; microempresarial"
1607;Femenino;servicio;peluqueria;robledo;2;7.0;20/04/2017;6000000;microempresarial;"Femenino; servicio; peluqueria; robledo; 2; 7.0; 42845; 6000000; microempresarial"
1608;Femenino;comercio;bares;santa cruz;2;2.0;2/04/2019;7000000;microempresarial;"Femenino; comercio; bares; santa cruz; 2; 2.0; 43557; 7000000; microempresarial"
1609;Masculino;Comercio;panaderia;buenos aires;3;9.0;16/11/2018;7800000;microempresarial;"Masculino; Comercio; panaderia; buenos aires; 3; 9.0; 43420; 7800000; microempresarial"
1610;Femenino;comercio;comidas rapidas;villatina;1;8.0;30/07/2018;7800000;microempresarial;"Femenino; comercio; comidas rapidas; villatina; 1; 8.0; 43311; 7800000; microempresarial"
1611;Femenino;;FABRICA DE ;toscana;2;5.0;3/06/2016;6800000;microempresarial;"Femenino; ; FABRICA DE ; toscana; 2; 5.0; 42524; 6800000; microempresarial"
1612;Masculino;servicio;organización y ;san jose de la cima no. ;2;3.0;18/04/2018;800000;microempresarial;"Masculino; servicio; organización y ; san jose de la cima no. ; 2; 3.0; 43208; 800000; microempresarial"
1613;Femenino;industria;fabrica de ;villatina;2;8.0;4/02/2016;4000000;microempresarial;"Femenino; industria; fabrica de ; villatina; 2; 8.0; 42404; 4000000; microempresarial"
1614;Masculino;industria;fabrica de productos ;la milagrosa;3;9.0;29/08/2017;7377000;microempresarial;"Masculino; industria; fabrica de productos ; la milagrosa; 3; 9.0; 42976; 7377000; microempresarial"
1615;Femenino;comercio;peluqueria;;1;6.0;13/03/2018;7000000;microempresarial;"Femenino; comercio; peluqueria; ; 1; 6.0; 43172; 7000000; microempresarial"
1616;Femenino;servicio;cafe e internet;robledo;2;7.0;14/02/2018;7000000;microempresarial;"Femenino; servicio; cafe e internet; robledo; 2; 7.0; 43145; 7000000; microempresarial"
1617;Femenino;comercio;almacen de ropa en ;moravia;2;4.0;16/07/2018;7800000;microempresarial;"Femenino; comercio; almacen de ropa en ; moravia; 2; 4.0; 43297; 7800000; microempresarial"
1618;Masculino;comercio;variedades;san jose de la cima no. ;1;3.0;7/03/2018;7800000;microempresarial;"Masculino; comercio; variedades; san jose de la cima no. ; 1; 3.0; 43166; 7800000; microempresarial"
1619;Femenino;servicio;fotografia;campo valdes no. 2;3;3.0;6/10/2016;4000000;microempresarial;"Femenino; servicio; fotografia; campo valdes no. 2; 3; 3.0; 42649; 4000000; microempresarial"
1620;Femenino;industria;fabrica de ;manrique_central_no._2;3;3.0;16/04/2018;6000000;microempresarial;"Femenino; industria; fabrica de ; manrique_central_no._2; 3; 3.0; 43206; 6000000; microempresarial"
1621;Femenino;industria;fabrica de ;belen;3;16.0;26/02/2018;3500000;microempresarial;"Femenino; industria; fabrica de ; belen; 3; 16.0; 43157; 3500000; microempresarial"
1622;Masculino;comercio;legumbreria;manrique oriental;2;3.0;16/07/2018;2000000;microempresarial;"Masculino; comercio; legumbreria; manrique oriental; 2; 3.0; 43297; 2000000; microempresarial"
1623;Masculino;comercio;comidas rapidas;cabecera san antonio ;3;80.0;18/04/2018;7800000;microempresarial;"Masculino; comercio; comidas rapidas; cabecera san antonio ; 3; 80.0; 43208; 7800000; microempresarial"
1624;Femenino;servicio;peluqueria;aranjuez;3;4.0;28/09/2017;7000000;microempresarial;"Femenino; servicio; peluqueria; aranjuez; 3; 4.0; 43006; 7000000; microempresarial"
1625;Femenino;industria;fabrica de ;aranjuez;3;4.0;6/08/2018;7800000;microempresarial;"Femenino; industria; fabrica de ; aranjuez; 3; 4.0; 43318; 7800000; microempresarial"
1626;Femenino;industria;fabrica de ;playon de los ;2;2.0;10/05/2016;3000000;microempresarial;"Femenino; industria; fabrica de ; playon de los ; 2; 2.0; 42500; 3000000; microempresarial"
1627;Masculino;comercio;restaurante;robledo;1;7.0;8/03/2018;5000000;microempresarial;"Masculino; comercio; restaurante; robledo; 1; 7.0; 43167; 5000000; microempresarial"
1628;Femenino;industria;fabrica de ;robledo;1;7.0;3/08/2018;3000000;microempresarial;"Femenino; industria; fabrica de ; robledo; 1; 7.0; 43315; 3000000; microempresarial"
1629;Femenino;INDUSTRIA;Fabrica De ;doce de octubre no.1;1;6.0;28/11/2016;5000000;microempresarial;"Femenino; INDUSTRIA; Fabrica De ; doce de octubre no.1; 1; 6.0; 42702; 5000000; microempresarial"
1630;Femenino;comercio;comidas rapidas;enciso;2;8.0;19/04/2018;$ 1,000,000.00;microempresarial;"Femenino; comercio; comidas rapidas; enciso; 2; 8.0; 43209; $ 1,000,000.00; microempresarial"
1631;Masculino;comercio;almacen de ropa en ;robledo;1;7.0;15/09/2017;5200000;microempresarial;"Masculino; comercio; almacen de ropa en ; robledo; 1; 7.0; 42993; 5200000; microempresarial"
1632;Femenino;industria;fabrica de ;robledo;2;7.0;11/10/2016;3000000;microempresarial;"Femenino; industria; fabrica de ; robledo; 2; 7.0; 42654; 3000000; microempresarial"
1633;Masculino;servicio;Tienda;el poblado;3;14.0;29/11/2017;5000000;microempresarial;"Masculino; servicio; Tienda; el poblado; 3; 14.0; 43068; 5000000; microempresarial"
1634;Femenino;industria;fabrica de ;belencito;2;13.0;6/06/2017;7000000;microempresarial;"Femenino; industria; fabrica de ; belencito; 2; 13.0; 42892; 7000000; microempresarial"
1635;Femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;28/02/2017;6000000;microempresarial;"Femenino; industria; fabrica de ; campo valdes no. 1; 3; 4.0; 42794; 6000000; microempresarial"
1636;Femenino;COMERCIO;variedades;robledo;2;7.0;3/10/2018;7800000;microempresarial;"Femenino; COMERCIO; variedades; robledo; 2; 7.0; 43376; 7800000; microempresarial"
1637;Masculino;comercio;almacen de ropa en ;san javier no.1;1;13.0;6/12/2018;7800000;microempresarial;"Masculino; comercio; almacen de ropa en ; san javier no.1; 1; 13.0; 43440; 7800000; microempresarial"
1638;Femenino;servicio;peluqueria;santa cruz;2;2.0;16/08/2017;1500000;microempresarial;"Femenino; servicio; peluqueria; santa cruz; 2; 2.0; 42963; 1500000; microempresarial"
1639;Femenino;industria;fabrica de ;santo domingo savio ;1;1.0;26/04/2018;7800000;microempresarial;"Femenino; industria; fabrica de ; santo domingo savio ; 1; 1.0; 43216; 7800000; microempresarial"
1640;Femenino;industria;fabrica de ;manrique central no. 1;2;4.0;26/07/2018;7800000;microempresarial;"Femenino; industria; fabrica de ; manrique central no. 1; 2; 4.0; 43307; 7800000; microempresarial"
1641;Femenino;industria;fabrica de ;robledo;2;7.0;3/03/2017;6000000;microempresarial;"Femenino; industria; fabrica de ; robledo; 2; 7.0; 42797; 6000000; microempresarial"
1642;Femenino;servicio;peluqueria;aranjuez;3;4.0;27/03/2017;3500000;microempresarial;"Femenino; servicio; peluqueria; aranjuez; 3; 4.0; 42821; 3500000; microempresarial"
1643;Femenino;industria;fabrica_de_;moravia;2;4.0;4/01/2017;3000000;microempresarial;"Femenino; industria; fabrica_de_; moravia; 2; 4.0; 42739; 3000000; microempresarial"
1644;Femenino;industria;fabrica de ;buenos aires;2;9.0;26/02/2016;6890000;Microempresarial;"Femenino; industria; fabrica de ; buenos aires; 2; 9.0; 42426; 6890000; Microempresarial"
1646;Femenino;comercio;almacen de ropa en ;villa hermosa;3;8.0;7/03/2017;5000000;microempresarial;"Femenino; comercio; almacen de ropa en ; villa hermosa; 3; 8.0; 42801; 5000000; microempresarial"
1647;Femenino;comercio;variedades;pablo vi;2;2.0;29/12/2016;5000000;MICROEMPRESARIAL;"Femenino; comercio; variedades; pablo vi; 2; 2.0; 42733; 5000000; MICROEMPRESARIAL"
1648;Femenino;industria;fabrica de ;kennedy;2;6.0;22/05/2019;4000000;microempresarial;"Femenino; industria; fabrica de ; kennedy; 2; 6.0; 43607; 4000000; microempresarial"
1649;Femenino;servicio;fabrica de ;manrique central no. 2;1;3.0;27/07/2016;5000000;microempresarial;"Femenino; servicio; fabrica de ; manrique central no. 2; 1; 3.0; 42578; 5000000; microempresarial"
1650;Femenino;servicio;comidas rapidas;playon de los ;2;2.0;1/04/2019;4000000;microempresarial;"Femenino; servicio; comidas rapidas; playon de los ; 2; 2.0; 43556; 4000000; microempresarial"
1651;Femenino;servicio;peluqueria;santo domingo savio ;2;1.0;2/06/2017;7000000;microempresarial;"Femenino; servicio; peluqueria; santo domingo savio ; 2; 1.0; 42888; 7000000; microempresarial"
1652;Masculino;comercio;joyeria;centro admtivo;2;10.0;19/09/2017;7377000;microempresarial;"Masculino; comercio; joyeria; centro admtivo; 2; 10.0; 42997; 7377000; microempresarial"
1653;Femenino;industria;variedades;aranjuez;1;4.0;3/07/2018;7800000;microempresarial;"Femenino; industria; variedades; aranjuez; 1; 4.0; 43284; 7800000; microempresarial"
1654;Masculino;comercio;tienda;manrique oriental;1;3.0;6/06/2017;$ 7,377,000.00;microempresarial;"Masculino; comercio; tienda; manrique oriental; 1; 3.0; 42892; $ 7,377,000.00; microempresarial"
1655;Masculino;servicio;comidas rapidas;popular;2;1.0;17/05/2016;6890000;microempresarial;"Masculino; servicio; comidas rapidas; popular; 2; 1.0; 42507; 6890000; microempresarial"
1656;Femenino;industria;fabrica de ;enciso;2;8.0;19/08/2016;6890000;microempresarial;"Femenino; industria; fabrica de ; enciso; 2; 8.0; 42601; 6890000; microempresarial"
1657;Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;1/06/2016;3000000;microempresarial;"Femenino; industria; fabrica de ; manrique central no. 2; 2; 3.0; 42522; 3000000; microempresarial"
1658;Masculino;comercio;venta de repuestos;granizal;2;1.0;9/02/2018;6000000;microempresarial;"Masculino; comercio; venta de repuestos; granizal; 2; 1.0; 43140; 6000000; microempresarial"
1659;Masculino;comercio;comidas rapidas;robledo;2;7.0;20/06/2018;5000000;microempresarial;"Masculino; comercio; comidas rapidas; robledo; 2; 7.0; 43271; 5000000; microempresarial"
1660;Masculino;industria;fabrica de muebles;LORETO;2;9.0;1/11/2018;7812000;microempresarial;"Masculino; industria; fabrica de muebles; LORETO; 2; 9.0; 43405; 7812000; microempresarial"
1661;Femenino;industria;taller de mecanica;belencito;2;13.0;24/01/2017;7377000;microempresarial;"Femenino; industria; taller de mecanica; belencito; 2; 13.0; 42759; 7377000; microempresarial"
1662;Femenino;comercio;fabrica de ;prado;3;10.0;6/06/2017;6000000;microempresarial;"Femenino; comercio; fabrica de ; prado; 3; 10.0; 42892; 6000000; microempresarial"
1663;Femenino;comercio;variedades;popular;2;1.0;11/04/2018;5000000;microempresarial;"Femenino; comercio; variedades; popular; 2; 1.0; 43201; 5000000; microempresarial"
1664;Masculino;servicio;tienda;santo domingo savio ;1;1.0;22/03/2018;3000000;microempresarial;"Masculino; servicio; tienda; santo domingo savio ; 1; 1.0; 43181; 3000000; microempresarial"
1665;Femenino;comercio;comidas_rapidas;cabecera san cristobal;2;60.0;21/08/2018;2000000;microempresarial;"Femenino; comercio; comidas_rapidas; cabecera san cristobal; 2; 60.0; 43333; 2000000; microempresarial"
1666;Masculino;servicio;taller de mecanica;santander;2;6.0;17/01/2018;7000000;microempresarial;"Masculino; servicio; taller de mecanica; santander; 2; 6.0; 43117; 7000000; microempresarial"
1667;Femenino;industria;fabrica de colchones;san javier no.1;2;13.0;25/10/2018;3000000;microempresarial;"Femenino; industria; fabrica de colchones; san javier no.1; 2; 13.0; 43398; 3000000; microempresarial"
1668;Femenino;comercio;variedades;santa_elena_central;1;90.0;1/12/2017;30000000;microempresarial;"Femenino; comercio; variedades; santa_elena_central; 1; 90.0; 43070; 30000000; microempresarial"
1669;Masculino;industria;fabrica de ;belen;2;16.0;3/07/2018;5700000;microempresarial;"Masculino; industria; fabrica de ; belen; 2; 16.0; 43284; 5700000; microempresarial"
1670;Masculino;industria;fabrica de ;villa niza;2;2.0;25/04/2018;6000000;microempresarial;"Masculino; industria; fabrica de ; villa niza; 2; 2.0; 43215; 6000000; microempresarial"
1671;Masculino;servicio;taller de electronica;boston;3;10.0;2/08/2018;6000000;microempresarial;"Masculino; servicio; taller de electronica; boston; 3; 10.0; 43314; 6000000; microempresarial"
1672;Femenino;servicio;peluqueria;robledo;2;7.0;17/10/2018;7800000;microempresarial;"Femenino; servicio; peluqueria; robledo; 2; 7.0; 43390; 7800000; microempresarial"
1673;Masculino;servicio;mantenimiento en ;san javier no.1;1;13.0;16/05/2016;6800000;microempresarial;"Masculino; servicio; mantenimiento en ; san javier no.1; 1; 13.0; 42506; 6800000; microempresarial"
1674;Femenino;industria;fabrica de ;barrio caicedo;2;9.0;3/05/2017;2000000;microempresarial;"Femenino; industria; fabrica de ; barrio caicedo; 2; 9.0; 42858; 2000000; microempresarial"
1675;Masculino;comercio;variedades;santa_lucia;3;12.0;6/07/2018;7800000;microempresarial;"Masculino; comercio; variedades; santa_lucia; 3; 12.0; 43287; 7800000; microempresarial"
1676;Femenino;comercio;variedades;buenos aires;3;9.0;5/09/2018;$ 3,500,000.00;microempresarial;"Femenino; comercio; variedades; buenos aires; 3; 9.0; 43348; $ 3,500,000.00; microempresarial"
1677;Femenino;comercio;almacen de ropa en ;manrique central no. 1;2;4.0;4/09/2017;3500000;microempresarial;"Femenino; comercio; almacen de ropa en ; manrique central no. 1; 2; 4.0; 42982; 3500000; microempresarial"
1678;Masculino;servicio;mantenimiento en ;la francia;2;2.0;28/06/2019;5000000;microempresarial;"Masculino; servicio; mantenimiento en ; la francia; 2; 2.0; 43644; 5000000; microempresarial"
1679;Femenino;comercio;tienda;san javier no.1;2;13.0;4/04/2016;5000000;microempresarial;"Femenino; comercio; tienda; san javier no.1; 2; 13.0; 42464; 5000000; microempresarial"
1680;Femenino;servicio;peluqueria;enciso;1;8.0;12/09/2017;4400000;microempresarial;"Femenino; servicio; peluqueria; enciso; 1; 8.0; 42990; 4400000; microempresarial"
1681;Femenino;industria;panaderia;robledo;2;7.0;25/08/2017;7370000;microempresarial;"Femenino; industria; panaderia; robledo; 2; 7.0; 42972; 7370000; microempresarial"
1682;Femenino;comercio;variedades;aranjuez;1;4.0;22/08/2017;7000000;MICROEMPRESARIAL;"Femenino; comercio; variedades; aranjuez; 1; 4.0; 42969; 7000000; MICROEMPRESARIAL"
1683;Masculino;industria;fabrica de alimentos;girardot;3;5.0;4/12/2018;5500000;microempresarial;"Masculino; industria; fabrica de alimentos; girardot; 3; 5.0; 43438; 5500000; microempresarial"
1684;Femenino;comercio;restaurante;san javier no.1;1;13.0;18/07/2018;3000000;microempresarial;"Femenino; comercio; restaurante; san javier no.1; 1; 13.0; 43299; 3000000; microempresarial"
1685;Masculino;industria;fabrica de ;la pradera;2;13.0;3/09/2018;6000000;microempresarial;"Masculino; industria; fabrica de ; la pradera; 2; 13.0; 43346; 6000000; microempresarial"
1686;Femenino;comercio;tienda;santo domingo savio ;1;1.0;11/04/2016;4000000;microempresarial;"Femenino; comercio; tienda; santo domingo savio ; 1; 1.0; 42471; 4000000; microempresarial"
1687;Femenino;comercio;tienda;manrique central no. 1;3;4.0;6/02/2018;7200000;microempresarial;"Femenino; comercio; tienda; manrique central no. 1; 3; 4.0; 43137; 7200000; microempresarial"
