;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;result
8679;Femenino;servicio;productos de belleza;cabecera san cristobal;3;60.0;2/05/2019;8000000;microempresarial;"Femenino; servicio; productos de belleza; cabecera san cristobal; 3; 60.0; 43587; 8000000; microempresarial"
8680;Femenino;servicio;peluqueria;belencito;1;13.0;2/08/2018;6000000;microempresarial;"Femenino; servicio; peluqueria; belencito; 1; 13.0; 43314; 6000000; microempresarial"
8681;Masculino;industria;fabrica-de-;belen;3;16.0;18/05/2017;7377000;microempresarial;"Masculino; industria; fabrica-de-; belen; 3; 16.0; 42873; 7377000; microempresarial"
8682;Femenino;comercio;comidas rapidas;san javier no.1;2;13.0;13/11/2018;1300000;microempresarial;"Femenino; comercio; comidas rapidas; san javier no.1; 2; 13.0; 43417; 1300000; microempresarial"
8683;Femenino;comercio;variedades;versalles no. 1;2;3.0;29/05/2018;5000000;microempresarial;"Femenino; comercio; variedades; versalles no. 1; 2; 3.0; 43249; 5000000; microempresarial"
8684;Femenino;servicio;peluqueria;PICACHITO;1;6.0;14/09/2018;7000000;microempresarial;"Femenino; servicio; peluqueria; PICACHITO; 1; 6.0; 43357; 7000000; microempresarial"
8685;Femenino;comercio;tienda;manrique central no. 1;1;4.0;7/06/2018;6500000;microempresarial;"Femenino; comercio; tienda; manrique central no. 1; 1; 4.0; 43258; 6500000; microempresarial"
8687;Masculino;industria;fabrica de ;manrique oriental;1;3.0;12/07/2017;6000000;microempresarial;"Masculino; industria; fabrica de ; manrique oriental; 1; 3.0; 42928; 6000000; microempresarial"
8689;Masculino;servicio;venta de repuestos;aranjuez;2;4.0;8/11/2016;6890000;microempresarial;"Masculino; servicio; venta de repuestos; aranjuez; 2; 4.0; 42682; 6890000; microempresarial"
8690;Masculino;industria;variedades;castilla;3;5.0;21/06/2018;7800000;Microempresarial;"Masculino; industria; variedades; castilla; 3; 5.0; 43272; 7800000; Microempresarial"
8691;Femenino;comercio;productos de belleza;guayabal;3;15.0;13/12/2016;6890000;microempresarial;"Femenino; comercio; productos de belleza; guayabal; 3; 15.0; 42717; 6890000; microempresarial"
8692;Femenino;comercio;comidas rapidas;aranjuez;2;4.0;13/03/2017;7200000;microempresarial;"Femenino; comercio; comidas rapidas; aranjuez; 2; 4.0; 42807; 7200000; microempresarial"
8693;Masculino;industria;fabrica de ;enciso;1;8.0;4/09/2018;4000000;microempresarial;"Masculino; industria; fabrica de ; enciso; 1; 8.0; 43347; 4000000; microempresarial"
8694;Femenino;servicio;peluqueria;manrique central no. 2;3;3.0;16/09/2016;6000000;microempresarial;"Femenino; servicio; peluqueria; manrique central no. 2; 3; 3.0; 42629; 6000000; microempresarial"
8695;Femenino;comercio;tienda;villatina;1;8.0;13/02/2018;3000000;microempresarial;"Femenino; comercio; tienda; villatina; 1; 8.0; 43144; 3000000; microempresarial"
8696;Masculino;comercio;deposito de ;SAN JAVIER NO.1;3;13.0;4/05/2017;7370000;microempresarial;"Masculino; comercio; deposito de ; SAN JAVIER NO.1; 3; 13.0; 42859; 7370000; microempresarial"
8697;Femenino;comercio;almacen de ropa en ;barrio caicedo;2;9.0;24/07/2018;3000000;microempresarial;"Femenino; comercio; almacen de ropa en ; barrio caicedo; 2; 9.0; 43305; 3000000; microempresarial"
8698;Femenino;servicio;peluqueria;buenos aires;3;9.0;3/05/2018;6000000;microempresarial;"Femenino; servicio; peluqueria; buenos aires; 3; 9.0; 43223; 6000000; microempresarial"
8699;Femenino;comercio;tienda;santo domingo savio ;2;1.0;25/10/2016;6800000;microempresarial;"Femenino; comercio; tienda; santo domingo savio ; 2; 1.0; 42668; 6800000; microempresarial"
8700;Femenino;COMERCIO;fabrica de ;barrio_caicedo;2;9.0;13/02/2017;7000000;microempresarial;"Femenino; COMERCIO; fabrica de ; barrio_caicedo; 2; 9.0; 42779; 7000000; microempresarial"
8702;Femenino;comercio;miscelanea;buenos aires;3;9.0;23/01/2017;6000000;microempresarial;"Femenino; comercio; miscelanea; buenos aires; 3; 9.0; 42758; 6000000; microempresarial"
8703;Femenino;industria;mantenimiento-en-;villa hermosa;3;8.0;7/03/2017;7300000;microempresarial;"Femenino; industria; mantenimiento-en-; villa hermosa; 3; 8.0; 42801; 7300000; microempresarial"
8704;Masculino;comercio;variedades;san javier no.1;1;13.0;13/07/2018;7800000;microempresarial;"Masculino; comercio; variedades; san javier no.1; 1; 13.0; 43294; 7800000; microempresarial"
8705;Femenino;comercio;almacen de ropa en ;granizal;2;1.0;10/06/2016;3000000;microempresarial;"Femenino; comercio; almacen de ropa en ; granizal; 2; 1.0; 42531; 3000000; microempresarial"
8707;Femenino;servicio;restaurante;castilla;3;5.0;7/11/2018;4500000;microempresarial;"Femenino; servicio; restaurante; castilla; 3; 5.0; 43411; 4500000; microempresarial"
8708;Masculino;comercio;variedades;pedregal;3;6.0;11/10/2018;7000000;microempresarial;"Masculino; comercio; variedades; pedregal; 3; 6.0; 43384; 7000000; microempresarial"
8709;Femenino;industria;fabrica de ;enciso;2;8.0;17/11/2016;6000000;microempresarial;"Femenino; industria; fabrica de ; enciso; 2; 8.0; 42691; 6000000; microempresarial"
8710;Femenino;comercio;peluqueria;villa hermosa;3;8.0;25/04/2018;3000000;microempresarial;"Femenino; comercio; peluqueria; villa hermosa; 3; 8.0; 43215; 3000000; microempresarial"
8711;Masculino;servicio;variedades;robledo;2;7.0;27/02/2018;4000000;microempresarial;"Masculino; servicio; variedades; robledo; 2; 7.0; 43158; 4000000; microempresarial"
8712;Femenino;comercio;comidas rapidas;robledo;1;7.0;14/02/2018;2000000;microempresarial;"Femenino; comercio; comidas rapidas; robledo; 1; 7.0; 43145; 2000000; microempresarial"
8713;Masculino;servicio;barberia;el socorro;2;13.0;30/05/2017;7370000;microempresarial;"Masculino; servicio; barberia; el socorro; 2; 13.0; 42885; 7370000; microempresarial"
8714;Masculino;comercio;comidas rapidas;villatina;1;8.0;5/05/2017;7000000;microempresarial;"Masculino; comercio; comidas rapidas; villatina; 1; 8.0; 42860; 7000000; microempresarial"
8715;Femenino;servicio;comidas rapidas;villa hermosa;3;8.0;6/02/2018;3500000;microempresarial;"Femenino; servicio; comidas rapidas; villa hermosa; 3; 8.0; 43137; 3500000; microempresarial"
8716;Masculino;industria;fabrica de ;robledo;2;7.0;17/02/2016;5000000;microempresarial;"Masculino; industria; fabrica de ; robledo; 2; 7.0; 42417; 5000000; microempresarial"
8718;Masculino;comercio;granero;campo valdes no. 1;2;4.0;3/05/2017;6000000;microempresarial;"Masculino; comercio; granero; campo valdes no. 1; 2; 4.0; 42858; 6000000; microempresarial"
8719;Masculino;industria;taller de mecanica;buenos aires;2;9.0;3/10/2018;6000000;microempresarial;"Masculino; industria; taller de mecanica; buenos aires; 2; 9.0; 43376; 6000000; microempresarial"
8720;Femenino;comercio;comidas rapidas;san german;1;7.0;5/10/2016;5000000;microempresarial;"Femenino; comercio; comidas rapidas; san german; 1; 7.0; 42648; 5000000; microempresarial"
8721;Masculino;servicio;comidas rapidas;la floresta;3;12.0;20/10/2017;73770000;microempresarial;"Masculino; servicio; comidas rapidas; la floresta; 3; 12.0; 43028; 73770000; microempresarial"
8722;Femenino;comercio;tienda;la milagrosa;3;9.0;2/06/2017;5000000;microempresarial;"Femenino; comercio; tienda; la milagrosa; 3; 9.0; 42888; 5000000; microempresarial"
8723;Femenino;comercio;fabrica de ;popular;1;1.0;22/10/2018;7800000;microempresarial;"Femenino; comercio; fabrica de ; popular; 1; 1.0; 43395; 7800000; microempresarial"
8725;Femenino;INDUSTRIA;fabrica de alimentos;antonio nari¿o;2;13.0;18/01/2016;5000000;microempresarial;"Femenino; INDUSTRIA; fabrica de alimentos; antonio nari¿o; 2; 13.0; 42387; 5000000; microempresarial"
8726;Masculino;comercio;productos de belleza;robledo;2;7.0;18/05/2018;7800000;microempresarial;"Masculino; comercio; productos de belleza; robledo; 2; 7.0; 43238; 7800000; microempresarial"
8727;Femenino;servicio;fabrica de alimentos;santander;2;6.0;8/02/2018;6000000;microempresarial;"Femenino; servicio; fabrica de alimentos; santander; 2; 6.0; 43139; 6000000; microempresarial"
8728;Femenino;comercio;restaurante;barrio caicedo;3;9.0;11/10/2017;5000000;microempresarial;"Femenino; comercio; restaurante; barrio caicedo; 3; 9.0; 43019; 5000000; microempresarial"
8729;Masculino;servicio;barberia;la mansion;3;8.0;11/05/2018;5000000;microempresarial;"Masculino; servicio; barberia; la mansion; 3; 8.0; 43231; 5000000; microempresarial"
8730;Femenino;servicio;mantenimiento en ;el salvador;3;9.0;13/01/2017;6900000;microempresarial;"Femenino; servicio; mantenimiento en ; el salvador; 3; 9.0; 42748; 6900000; microempresarial"
8731;Masculino;comercio;miscelanea;florencia;3;5.0;30/08/2016;4000000;microempresarial;"Masculino; comercio; miscelanea; florencia; 3; 5.0; 42612; 4000000; microempresarial"
8732;Masculino;comercio;comidas rapidas;20 de julio;2;13.0;23/08/2018;5000000;microempresarial;"Masculino; comercio; comidas rapidas; 20 de julio; 2; 13.0; 43335; 5000000; microempresarial"
8733;Femenino;comercio;variedades;cabecera san cristobal;1;60.0;11/05/2018;800000;microempresarial;"Femenino; comercio; variedades; cabecera san cristobal; 1; 60.0; 43231; 800000; microempresarial"
8734;Femenino;servicio;comidas rapidas;robledo;2;7.0;11/10/2016;4000000;microempresarial;"Femenino; servicio; comidas rapidas; robledo; 2; 7.0; 42654; 4000000; microempresarial"
8735;Femenino;industria;fabrica de ;aguas frias;1;70.0;5/07/2017;7300000;microempresarial;"Femenino; industria; fabrica de ; aguas frias; 1; 70.0; 42921; 7300000; microempresarial"
8736;Masculino;comercio;tienda;la milagrosa;3;9.0;3/03/2016;1500000;microempresarial;"Masculino; comercio; tienda; la milagrosa; 3; 9.0; 42432; 1500000; microempresarial"
8737;Femenino;industria;fabrica de ;aranjuez;3;4.0;22/02/2017;7000000;microempresarial;"Femenino; industria; fabrica de ; aranjuez; 3; 4.0; 42788; 7000000; microempresarial"
8738;Femenino;agropecuaria;criadero de animales ;altavista;2;16.0;5/09/2017;$ 5,000,000.00;agropecuaria;"Femenino; agropecuaria; criadero de animales ; altavista; 2; 16.0; 42983; $ 5,000,000.00; agropecuaria"
8739;Femenino;comercio;restaurante;santa lucia;3;12.0;21/03/2017;7370000;microempresarial;"Femenino; comercio; restaurante; santa lucia; 3; 12.0; 42815; 7370000; microempresarial"
8740;Femenino;industria;fabrica de ;buenos-aires;3;9.0;25/04/2016;6890000;microempresarial;"Femenino; industria; fabrica de ; buenos-aires; 3; 9.0; 42485; 6890000; microempresarial"
8741;Femenino;comercio;legumbreria;villa del socorro;2;2.0;24/08/2018;7000000;microempresarial;"Femenino; comercio; legumbreria; villa del socorro; 2; 2.0; 43336; 7000000; microempresarial"
8742;Masculino;servicio;cafe e internet;aranjuez;1;4.0;27/09/2016;6890000;microempresarial;"Masculino; servicio; cafe e internet; aranjuez; 1; 4.0; 42640; 6890000; microempresarial"
8743;Femenino;industria;fabrica-de-;popular;2;1.0;17/02/2016;6444500;microempresarial;"Femenino; industria; fabrica-de-; popular; 2; 1.0; 42417; 6444500; microempresarial"
